ID,level,symbol,main,sub,all,category_circulator,category_refrigerator,category_cleaner,category_laundry,category_others,spec_wifi,spec_grounding,spec_rechargeable,spec_ac_cord,spec_ac_adaptor,spec_water,spec_remocon,spec_heavy_load,note,reference
s001,warning,execution,電源プラグのほこりは定期的に取る,ほこりがたまると、湿気などで絶縁不良になり、火災・感電の原因になります。,,,,,,,,,,1,1,,,,「電源プラグ・電源コードは正しく使う」をタイトルに追加,
s002,warning,execution,電源プラグはコンセントの奥まで確実に差し込む,ショートによる火災・感電の原因になります。,,,,,,,,,,1,1,,,,,
s003,warning,execution,電源は交流100V、定格15A 以上のコンセントを単独で使う,火災の原因になります。,,,,,,,,,,1,1,,,,,
s004,warning,unique02,ぬれた手で電源プラグの抜き差しをしない,感電・やけど・けがの原因になります。,1,,,,,,,,,1,1,,,,,
s005,warning,prohibition,電源コードを束ねて通電しない,過熱してやけど・火災の原因になります。電源コードは、必ずのばして使用してください。,,,,,,,,,,1,1,,,,,
s006,warning,prohibition,移動時に電源コードを引っ張らない,火災の原因になります。,,,,,,,,,,1,1,,,,,
s007,warning,prohibition,電源コードを傷付けない,,,,,,,,,,,1,1,,,,,
s008,warning,prohibition,設置時に冷蔵庫を電源プラグに押し付けない,傷付ける、加工する、無理に曲げる、引っ張る、ねじる、重いものを載せる、挟み込むなどしないでください。<br>電源コードが破損し、火災・感電の原因になります。,,,,,,,,,,1,1,,,,,
s009,warning,prohibition,電源コードや電源プラグが傷んだり、コンセントの差し込みがゆるいときは使わない,ショートによる火災・感電の原因になります。<br>電源コードが破損したときは、使用を中止しアイリスコール （参照）へお問い合わせください。（コードの交換は製造業者もしくはその代理店または同等の有資格者によって行います。）,,,,,,,,,,1,1,,,,,
s010,warning,unique02,お手入れや点検、移動の際は、必ず電源プラグをコンセントから抜く,感電・けがの原因になります。,,,,,,,,,,1,1,,,,,
s011,warning,unique02,電源プラグを抜くときは、電源コードを持たずに必ず電源プラグを持って引き抜く,電源コードが破損し、火災・感電の原因になります。,,,,,,,,,,1,1,,,,,
s012,warning,unique02,長期間使わないときは、必ず電源プラグをコンセントから抜く,絶縁低下により、火災・感電の原因になります。　,,,,,,,,,,1,1,,,,,
s013,warning,execution,水平で安定した場所で使用する,不安定な場所で使用すると、ドアの開閉などで転倒し、火災・けがの原因になります。,,,1,,,,,,,,,,,,「設置について」をタイトルに追加,
s014,warning,execution,地震に備えて、転倒防止処置をする,転倒すると、火災・けがの原因になります。,,,1,,,,,,,,,,,,,
s015,warning,execution,風通しが良いところに、すき間を空けて設置する,機器の囲いまたはビルトイン構造では、障害物をなくし、通風口を確保する。<br>せまい場所に設置すると、過熱の原因になるだけでなく、冷媒がもれ出したときは、滞留して発火・爆発の原因になります。,,,1,,,,,,,,,,,,,
s016,warning,unique03,湿気や水気の多い場所で使うときはアース（接地）をする,（アース線を取り付けることをおすすめします。アース線を取り付けないと、故障したり漏電したときに感電するおそれがあります。）<br>次のような場所で使用する場合は、法令でアース工事（D 種接地工事）が義務付けられています。<br>・湿気の多い場所<br>　土間・コンクリート床・貯蔵室など<br>・水気のある場所<br>　洗い場など水を扱うところ<br>　水滴が飛び散るところ<br>　地下室など結露しやすいところ<br>※アース線は別売りです。付属していません。,,,,,,,,1,,,,,,,,
s017,warning,prohibition,アース線は、ガス管や水道管、電話線や避雷針のアース線には絶対に接続しない,爆発・火災の原因になります。,,,,,,,,1,,,,,,,,
s018,warning,execution,水気の多いところで使用する場合は、漏電遮断器を設置する,水気の多いところに設置する場合は、アースの他に漏電遮断器の設置が義務付けられています。<br>（ご家庭の分電盤に設置されていることがあります。）<br>詳しくは、お買い上げの販売店または電気工事店にご相談ください。,,,1,,1,,,,,,,,,,,
s019,warning,execution,異常・故障時には直ちに使用を中止し、電源プラグをコンセントから抜く<br>　〔異常の例〕<br>　　　・異常な音やにおいがする<br>　　　・電源プラグ・電源コードが異常に熱くなる<br>　　　・電源コードを動かすと、通電したりしなかったりする<br>　　　・触れるとピリピリ電気を感じる<br>➡使用を中止し、お買い上げの販売店またはアイリスコール （参照）へお問い合わせください。,発煙・火災・感電のおそれがあります。,,,,,,,,,,1,,,,,,
s020,warning,execution,冷蔵庫の冷媒やプロパンガス・都市ガスなどのガスがもれたら、冷蔵庫やコンセントに触れずに窓を開けて換気する,引火して、発火・爆発の原因になります。,,,1,,,,,,,,,,,,,
s021,warning,execution,廃棄などで保管するときは、必ずドアパッキンを外す<br>廃棄するときは、販売店や市区町村に引き渡す,幼児の閉じ込め事故の原因になります。<br>放置すると、冷媒もれによる発火・爆発の原因になります。,,,1,,,,,,,,,,,,,
s022,warning,unique06,風呂場など極端に湿度が高く、水がかかる可能性の高い場所では絶対に使用しない<br>本体を水につけたり、水をかけたりしない,火災・感電の原因になります。,,,1,,,,,,,,,,,,,
s023,warning,unique06,冷蔵庫の上に水を入れた容器を置かない,火災・感電の原因になります。,,,,,,,,,,,,1,,,,
s024,warning,unique01,分解・修理・改造をしない,火災・感電・けがの原因になります。<br>修理技術者以外の方が修理を行うことは危険です。修理については、お買い上げの販売店またはアイリスコール （参照）にご相談ください。,1,,,,,,,,,,,,,,,
s025,warning,prohibition,製造業者が推薦するもの以外の、除霜を速めるための機械的な器具やその他の手段を用いない,,,,1,,,,,,,,,,,,,
s026,warning,prohibition,製造業者が推奨する電気機器以外を食品貯蔵庫内で使用しない,脱臭機などの電気製品を入れないでください。感電・引火・爆発の原因になります。,,,1,,,,,,,,,,,,,
s027,warning,prohibition,屋外・小屋・車庫・軒下で使用しない,故障して、ショートや火災の原因になります。<br>小動物により電気配線を傷付けられたり、雨水の影響により、故障や火災の原因になります。,,,1,,,,,,,,,,,,,
s028,warning,prohibition,上に乗ったり、重いものを載せたり、ドアにぶら下がったりしない,転倒してけがの原因になります。,,,1,,,,,,,,,,,,,
s029,warning,prohibition,可燃性高圧ガスが入ったエアゾール缶のような爆発性物質を保存しない<br>または近くで使用しない,接着剤・ベンジン・工業用アルコール・ライターのボンベなど、揮発性・引火性のあるものは入れないでください。引火・爆発のおそれがあります。,,,1,,,,,,,,,,,,,
s030,warning,prohibition,冷却回路（配管）に損傷を与えない,この商品は霜取り不要です。<br>冷媒がもれると発火・爆発の原因になります。,,,1,,,,,,,,,,,,,
s031,warning,prohibition,自動製氷機の機械部に手を入れない,けがの原因になります。,,,1,,,,,,,,,,,,製氷機能あり機種のみ,
s032,warning,prohibition,自動製氷は飲料水以外を使用しない,,,,1,,,,,,,,,,,,製氷機能あり機種のみ,
s033,caution,execution,棚・ドアポケットの取り付けは確実にする,落下すると、けがや保存物の破損の原因になります。,,,1,,,,,,,,,,,,棚・ドアポケットは機種依存,
s034,caution,unique04,底面に手や足を入れない,鉄板の端面でけがをするおそれがあります。,,,1,,,,,,,,,,,,,
s035,caution,unique04,背面の機械部分に触れない,やけど・けがの原因になります。,,,1,,,,,,,,,,,,,
s036,caution,execution,すべり止め手袋をして、２人以上で下部と背面上部の運搬取っ手をしっかりと持って運ぶ,手をすべらせて落下させないようにご注意ください。,,,1,,,,,,,,,,,,人数・持ち手は機種により異なる,
s037,caution,execution,傷付きやすい床や、やわらかい床（クッションフロアなど）の上では、保護用の板を敷く,床が傷付いたり凹んだりするおそれがあります。,,,1,,,,,,,,,,,,,
s038,caution,execution,庫内の食品はすべて取り出す,落下して、破損・飛散・けがの原因になります。,,,1,,,,,,,,,,,,,
s039,caution,prohibition,横倒しに置かない,コンプレッサーや冷却回路が破損し、冷媒がもれると火災の原因になります。,,,1,,,,,,,,,,,,,
s040,caution,prohibition,転倒防止ベルト取り付け部を取手として使用しない,落下して、破損・けがの原因になります。,,,1,,,,,,,,,,,,転倒防止ベルト取り付け部の有無は機種による,
s041,caution,unique02,冷凍室内の食品・容器（特に金属製の容器）にぬれた手で触れない,ぬれた手で触れるとくっついて、凍傷の原因になります。<br>くっついてしまったときは、水をかけてはがす、または流水で洗い流してください。凍傷になったと思われるときは、医師の診断を受けてください。,,,1,,,,,,,,,,,,冷凍室のあるモデルのみ,
s042,caution,prohibition,冷凍室にびん類を入れない,中身が凍結により膨張してびんが割れ、けがの原因になります。,,,1,,,,,,,,,,,,冷凍室のあるモデルのみ,
s043,caution,prohibition,冷凍室に炭酸飲料を入れない,破裂するおそれがあります。,,,1,,,,,,,,,,,,冷凍室のあるモデルのみ,
s044,caution,prohibition,異臭がしたり、変質した食品は食べない,腐敗のおそれがあり、健康を害する原因になります。,,,1,,,,,,,,,,,,,
